swot_lake_id,gage_id,agency,data_source,has_stage,has_storage,has_area,has_S2,agency2,agency3,rise_id,CDEC_code,nwis_gage_id,gage_name,latitude,longitude,elevation,SITEURL,basin_id_swot,names_swot,res_id_swot,reach_id_list_swot,lon_swot,lat_swot,poly_area_swot,poly_perimeter_swot,ref_area_swot,ref_area_u_swot,ref_wse_swot,ref_wse_u_swot,date_t0_swot,ds_t0_swot,storage_swot,ice_clim_flag_swot,ice_clim_flag2_swot,nb_ice_clim_swot,pass_full_cal_swot,nb_pass_full_cal_swot,pass_part_cal_swot,nb_pass_part_cal_swot,pass_full_nom_swot,nb_pass_full_nom_swot,pass_part_nom_swot,nb_pass_part_nom_swot,cycle_flag_cal_swot,cycle_flag_nom_swot,min_dist_lake_swot,min_dist_lake_id_swot,min_dist_river_swot,min_dist_river_id_swot,update_version_swot,updated_items_swot,sources_swot,Shape_Length_swot,Shape_Area_swot,a_geod_km2_swot,p_geod_km_swot,num_pass_cycle_swot,ice_clim_1,ice_clim_2
7250049113,4.3484E+14,USGS,NWIS,Y,N,N,Y,,,,,4.3484E+14,"GREEN LAKE AT GREEN LAKE, WI",43.8111111,-89,790.13,,725,GREEN LAKE,1502,,-89.00298303,43.80911063,31.48020098,66.41883241,31.48019998,,242.072,0,2024-04-24T03:53:18Z,0.002497181,,2.2222E+181,1.11111E+46,160,,0,,0,537;231;188,3,466,1,0,3,362,7250049282,3780,72582800063,,,Circa2015;digitize,0.728654371,0.003521798,31.4852695,66.42429669,4,2.2222E+181,1.11111E+46
7250051493,4082500,USGS,NWIS,Y,N,N,N,,,,,4082500,"LAKE WINNEBAGO NEAR STOCKBRIDGE, WI",44.07055556,-88.32888889,744.07,,725,LITTLE LAKE BUTTE DES MORTS;WARBIRD ISLAND;LAKE WINNEBAGO;LAKESIDE PARK WEST;WINNEBAGO,1493,72582700463;72582700453;72582700413;72582700383;72582700403;72582700393;72582700343;72582700423;72582700364;72582700354;72582700373;72582700443;72582700471,-88.4096662,44.01894162,536.3484367,236.5670793,536.3484317,,227.074,0,2024-05-04T02:15:28Z,-0.018703652,,2.2222E+181,1.11111E+45,161,,0,,0,,0,466;231,2,0,1,161,7250043872,0,72582700173,,,Circa2015;digitize,2.48401584,0.060231765,536.6089641,236.6232884,2,2.2222E+181,1.11111E+45
7250053712,4.45512E+14,USGS,NWIS,Y,N,N,Y,,,,,4.45512E+14,,,,,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=445512084415301,725,OTSEGO LAKE,,,-84.69304513,44.95140228,7.885800149,23.22000148,7.885800149,,387.55,0,2024-05-15T13:56:11Z,-0.000120607,,2.2222E+181,1.11111E+50,172,,0,,0,481;203;132,3,,0,0,3,417,7250054952,28354,72558200391,,,Circa2015,0.239831946,0.000899195,7.885686892,23.21983418,3,2.2222E+181,1.11111E+50
7250054033,4.42805E+14,USGS,NWIS,Y,N,N,Y,,,,,4.42805E+14,"HIGGINS LAKE NEAR ROSCOMMON, MI",44.4264058,-84.68197029,1148.36,,725,HIGGINS LAKE,1488,,-84.72246689,44.47420723,41.13090007,43.74000041,41.13090007,,351.068,0,2024-05-25T12:18:15Z,0.018412489,,2.2222E+181,1.11111E+49,170,,0,,0,481,1,,0,0,3,318,7250070132,19108,72558200416,,,Circa2015,0.466460806,0.004652079,41.13060526,43.73978812,1,2.2222E+181,1.11111E+49
7250070302,4.424E+14,USGS,NWIS,Y,N,N,Y,,,,,4.424E+14,"HOUGHTON LAKE NR HOUGHTON LAKE HEIGHTS, MI",44.40444349,-84.7910288,1129.61,,725,HOUGHTON LAKE,,,-84.72836349,44.34306666,81.02610095,60.95999579,81.02610095,,346.217,0,2024-05-25T12:18:13Z,0.030980754,,2.2222E+181,1.11111E+49,170,,0,,0,481,1,,0,0,3,690,7250056132,31247,72558200416,,,Circa2015,0.663780868,0.009144155,81.0255535,60.95976372,1,2.2222E+181,1.11111E+49
7250080513,4087440,USGS,NWIS,Y,N,N,N,,,,,4087440,"LAKE MICHIGAN AT CHICAGO LOCK AT CHICAGO, IL",41.88927778,-87.6079444,579.2,,725,HARTSHORN MARINA;LAKE MICHIGAN;CEDAR RIVER;PENTWATER LAKE;MANI;MACATAWA RIVER;NORTH BAR LAKE;FORT HOWARD WILDLIFE AREA;CALUMET RIVER;LACUSTRINE WETLAND;LAKE MACATAWA;MACATAWA LAKE;MUSKEGON LAKE;PLATTE RIVER;BLACK RIVER;GREAT LAKES MARINA;EAST BREAKWATER AREA;DUCK LAKE;MICHIGAN;SUAMICO RIVER;SNAKE ISLAND;GREEN BAY WEST SHORES WILDLIFE AREA-PEATS LAKE UNIT;JACKSON PARK INNER HARBOR,,72587000393;72587000413;72587000423;72587000403;72588000043;72589000013;72588000033;72588000073;72583200013;72583200023;72588000063;72588000053;72583300053;72582400013;72582700493;72582200023;72582300013;72581000123;72581000113;72581000103;72581000133;72581000073;72587000203;72587000213;72587000233;72581000093;72587000053;72587000193;72581000083;72581000143;72587000243;72587000073;72587000083;72587000063;72587000223;72587000093;72583700083;72586000023;72581000153;72583900033;72586000013;72583700073;72583700063;72583700053;72582300083;72582200223;72582200013;72582500023;72581000163;72582500013;72582100023;72582700013;72581000183;72581000173;72583100123;72582300023;72582700023;72581000193;72582300073;72582700033;72582300033;72582300043;72582300053;72582300063;72582700043;72583100023;72583100013;72582700053;72582200043;72582100013;72583100103;72583100113;72581000223;72581000213;72581000203;72583100033;72583100093;72583100043;72583100083;72582200033;72583100073;72583300013;72583300033;72583300043;72583300023;72587000013;72583900013;72583100063;72583900023;72583100053;72585000013;72587000033;72588000023;72587000023;72587000133;72583700013;72587000123;72587000043;72583400013;72587000153;72587000143;72583400023;72587000183;72587000173;72587000163;72588000013;72583700023;72583700043;72583700033;72582600013;72587000113;72587000103;72588000081;72582200061;72582600021;72582200051;72583700091;72582700501,-86.7572939,44.00578791,57791.04946,3848.402785,57791.03339,,176.153,0,2024-05-24T23:00:56Z,-0.288556666,,1.1111E+181,1.11111E+35,179,,0,,0,,0,466;509;410;438;203;231;160;132,8,0,1,30,7250041243,0,72581000073,,,Circa2015;digitize,40.69329717,6.491627927,57832.93615,3849.653382,8,1.1111E+181,1.11111E+35
7250113652,4.42746E+14,USGS,NWIS,Y,N,N,Y,,,,,4.42746E+14,"VAN ETTEN LAKE WEST SHORE AT OSCODA, MI",44.4627333,-83.3562444,579.92,,725,VAN ETTEN LAKE,,,-83.36311681,44.47411953,5.523928592,22.84643094,5.523928592,,178.811,0,2024-05-14T13:55:29Z,-0.001957708,,2.2222E+181,1.11111E+42,166,,0,,0,410;175,2,,0,0,3,793,7250113933,1967,72558200071,,,Circa2015,0.244366478,0.00062474,5.523548279,22.84564051,2,2.2222E+181,1.11111E+42
7250183193,4037400,USGS,NWIS,Y,N,N,Y,,,,,4037400,"CISCO LAKE NEAR WATERSMEET, MI",46.2527262,-89.4520913,1679.49,,725,CISCO LAKE;THOUSAND ISLAND LAKE,1442,,-89.44464732,46.23844979,1.750501985,20.75765733,1.750501985,,512.389,0,2024-05-17T13:57:35Z,-0.000130125,,2.2222E+181,1.11111E+55,184,,0,,0,537;466;259,3,,0,0,3,29,7250183233,37767,72599200226,,,Circa2015;digitize,0.226746985,0.000204162,1.750373254,20.75691121,3,2.2222E+181,1.11111E+55
7250200193,4057811,USGS,NWIS,Y,N,N,Y,,,,,4057811,"GREENWOOD RESERVOIR NEAR GREENWOOD, MI",46.4421599,-87.8006905,1400.14,,725,GREENWOOD RESERVOIR,1431,,-87.82637179,46.45549804,4.141799959,48.84000128,4.141799959,,461.039,0,2024-05-14T00:37:03Z,0.000629681,,2.2222E+181,1.11111E+58,189,,0,,0,537;231,2,160,1,0,3,30,7250200162,34353,72582400716,,,Circa2015,0.543530111,0.000485334,4.144704851,48.85711835,3,2.2222E+181,1.11111E+58
7250201912,4058190,USGS,NWIS,Y,N,N,Y,,,,,4058190,"SCHWEITZER RESERVOIR NEAR PALMER, MI",46.4166052,-87.6468026,1300.16,,725,,,,-87.64970888,46.41619621,0.146700027,2.819999989,0.146700027,,407.0205,0,2024-05-14T00:37:04Z,1.26E-05,,2.2222E+181,1.11111E+56,186,,0,,0,231;160,2,,0,0,3,210,7250201892,33666,72582200226,,,Circa2015,0.031638031,1.72E-05,0.146808442,2.821042294,2,2.2222E+181,1.11111E+56
